Tweet,Class
اصلن شمس صوتها مو حلو بس تسوي اغراءت هي وهيفاء وهبي زي بعض شياطين واحلام انااا مااحبها ولا اكرههااا بس صوتها حلو ع الاقل,N
الغسل متعرف شتحجي,N
يا لبئ احلام واهل الامارااات,N
ههههه,N
هيه اصلن انسانه مقرفه يع,P
اتقو الله لاتأخذو أثام بسببها خلوها لنفسها,N
خدميه,N
هذي انسانه غريبه شايفه نفسها وهي نفسها مو واثقه بنفسها غلط تخلوها بكذا,N
انته مال اغاني انتي ستوته تبيعين غاز يااحلام كبرررررر,N
بلعكس اني احبها لان هي ممأذيه احد وكولش صريحه,N
اصلا بتركي كلمه النوم تختلف,N
الي يشوف أحلام زمان شوف أحلام مع جورج قرداحي في برنامج من سيربح المليون كانت قمة الأخلاق والذوق وش إلى سار ربما حاله نفسيه,N
تحط نفسها   في  مواقف محرجه,N
هههههههههه,N
هيه اماراتيه وتحجي لبناني تنكر اصله,N
متناقضة,N
انا كتييييييييير كتييييييييير بكره الملكة احلام,P
منو  سماها ملكه ؟؟,N
المجنونه ههههههههههههههههه,P
الحمد لله,N
انسانه متقلبه شخصيا,N
استغفرالله بس,N
حافظة القرأن 😱😱😂😂😂,N
والله محبوبه,N
اريد اسال سؤال بابه انتي ليش خلينج بل رنامج بصره مال كنتاكي خررب علي مله شخصيه والج ترحيل فدوه العلي او نانسي,N
"هههههههههههه ههههههههه بيستاهل 
جبار أبو الشربت 😂😂😂😂😛😛😛😜",N
وهي اللي مسويه جو في اابرنامج مع احترامي للكل.,N
ملكه يا احلام صريحه😁👍👍,N
كل هالمصاري مابتعرفي تحسني بحالك...,N
"الحمدلله الذي انعم الله علينا بنعمته
زينه العقل",N
المره هبلا,P
زوجها لا حول ولا قوة له الا بالله مسكين بدون إرادة قدام أبو الهول,P
اللي عامل الفيديو مريض نفسياً .. ونقول للمرة المليون الصراخ على قدر الألم !,P
زق على بشار وعلى امه,P
"معقدة ، مسكينة ،",P
ًاحسن تكرها,N
اقول اعتزلي دامك حافظه القران الله يصلحك,N
مريض عقلين 😝,P
بتحطي نفسك بمواااااقف بايخخخه,N
"انا ايش استفدت من هذا الفديو قبحك الله 
ياليت تنزل فديو نستفيد منه",P
مالت عليك وعليها,N
اوقفو هذه الشنطا فشلت الخليجيين,P
زوجهى مرايه لها,N
,N
,N
,N
تاااااااااااافها احﻻم,P
"احلام فنانة مرحة ولطيفة وقلبها ابيض
مااعرف ليش اتغارون منها",N
لاحول ولا قوة الابالله اللهم استرنا فوق الارض وتحت الارض ويوم العرض عليك,N
"تقول صح 
و في حلقة ثانية تقول خطأ 
مثال 👆🏻👆🏻
لمن اغني اغنية حزينة م ابتسم    ( قالت في حلقة ) 
لمن احد يغني اغنية حزينة  لابد من الابتسامة.    ( قالت في حلقة ثانية )",N
لو الله خالقني أحلام ولا هاي العيشه ههه,N
احلام مشربة دواء مهدى,N
ما شفت اي عيب عادي هي انسانة في الاخير يعني ولها حرية شخصية  لازم نهتم بفنهم مش بشخصيتهم و حياتهم الشخصية كما ان الانسان اللي يلاقي انتقادات كثيرة هو الانسان الناجح,N
,N
لك هايه خبلة رسمي,P
يعينوا الله هى زوج شو مستنيين منوا,N
حلام سولالته ترجع للفنان العراقي سعد الحلي,N
ياريت متشاركش  في اللجنة لاني مابتفرجش  على البرنامج بسبب الغبية احلام,P
مجنونة مو صاحية.. انسانة تناقض نفسها كثير ووعملت من نفسها مسسسخرة..,P
طقاقه,P
,N
,N
,N
هههههههه 😂😂,N
احلااااااااااااام حبيبة المغرب و المغاربة الشعب المغربي بموت فيها و شكرًا على تفهمكم,N
هههههههههههههههههههههههههههههههههههههههههههههه ناس فاطية وتافهة ربنا ينتقم منكم,P
هههههه اصلا الاتراك ميسموها نمسا,N
نكتة بتاع زوجك بايخة لأنو معنى كلمة نوم بالتركي هيا ياط,N
ييييي الاعلام كيف بيشوه صمعت الواحد وصورلنا الصورة يلي بدو ياه هلا كل الفنانين وكل انسان الو اخطائو بس يلي بيحكي هلا شو عم يخبص شو دخل سورية بالموضوع خليك بحزب اللات تبعك ومشكل نفايات,N
انتي مثل باقر جبر الزبيدي متعددة المواهب,N
"جمييييل يااحلام ارب ايدل بدووووونك 
ياريت يرجع راغب علامه ويحلا البرنامج احلا واحلا",N
"عادي لو اي فنان جمعتوله لقطات من حياته الفنية رح يطلع هيك واكثر .المشكلة .حقادها كثروا ومتربصين لها على اي زلة لسان 
الناس تحسد الأصلع على صلعته فما بالك واحد الله اغدق عليه من نعيمه...الله يعينك يا أحلام",N
هذي أحلام نشاز.,P
عسولة كتير احلام يا حرام كله ظلمها,N
"ههههههه اكثر شي عجبني قالت ذكرتيني فيني .
طلعت الشيخه ناسيه حالها .",N
بختصار    احلام  مجرد  انسانه  تحب الشهره,N
احلام هب بلا لب,N
ولكم هاي شلون بيهه . ۉٲڵڵـــ☝ــــہ. خزتنه وفضحتنه,N
دي هبله,P
ماهد الخرااااء انت لست احلام إنتي كوابيس تشبهين مايكل جاكسون قبل وفاته ب بيوم,P
اللي يكرهون احلام وش حارق رزقكم هي وحده ثريه مالكه الدنيا كلها من حقها تفرح وتسوي اللي تبي مو مثلكم فقراء معقدين كل زقو ونكتمو احلام ملكتكم,N
الله يحرءك متكبرة,P
حتى الضحك,N
هي بعنايه مجنونه,P
يع منها ادعوا لها بشاف,P
,N
"الله يعينكم ي ناس حسناتكم قاعده تطير وحده ورا الثانيه لأحلام..
الله أعلم انها بتدخل الجنه بسبب الكم الهائل من الحسنات اللي قاعده تنهال عليها يومياً بدون تعب..
ادعوا لها بالهدايه او اسكتوا..
فلتقل خيراً أو لتصمت..
ذلحين انتو بإيش أحسن منها وتعليقاتكم كلها سب وشتم وسوقيه وخاليه من أي احترام وأدب وذوق!!
ترا هذي مو أخلاق الانسان المسلم اللي تميزه أخلاقه..
خلوا أحلام في حالها ي ناس لها رب يحاسبها..
دعوا الخلق للخالق..
كل شوي منزلين مقطع لها !! والله عيب عليكم وحرام كمان..
الله يهديها ويهدينا ويهديكم..
استغفر الله العظيم وأتوب إليه..",N
تقول حافضه قران يمكن صادقه ماادري عنها بس الي يحفظ يطبق مويدخل من هينا ويطلع من هينا ولا ليش تحفضينه من الاساس 🤔,N
اولي اولي احكي خليجي ليش تحكين مصري ولبناني مستعره من لهجتك 🤔😳,N
غصباًعنك ذكري صوتها يجنن موبس حلو,N
شمس رقاصه وش ذاالغرور 💃🏼💃🏼💃🏼 علاقولت شمس خلي جسمك يصير حلو وارقصي,N
"الذي سوى المقطع مطلوب 
هههههههههههههههههههه",N
لاحول ولا قوة الا بالله,N
"شخصية فاشلة جداً وغبية وغير دارسة!! وزوجها أغبى والجالسين والعرب اغبى أكثر كلشى يقال گدامهم يصدقوا! لا توجد كلمة نمسا او نمســه باللغة التركية أطلاقاً وناموا بالتركي uydular لا نمسا ولا همسا كذابين منافقين واغبياء لا اخلاق ولا شهادة، نانسي اللي ع أساس تلبس وترقص وتدلع في كليپاتها عندها شخصية قوية ومحترمة اكثر بكثير من الكركدان احلام",P
